lag_months,correlation,pvalue,significant,ci_lower,ci_upper
0,0.1863,0.069202,False,-0.0148,0.3728
1,0.2012,0.050518,False,-0.0003,0.3871
2,0.107,0.304683,False,-0.0977,0.303
3,0.0079,0.940114,False,-0.1961,0.2113
4,0.0036,0.972878,False,-0.2014,0.2083
5,-0.0132,0.901257,False,-0.2185,0.1933
6,-0.1124,0.291587,False,-0.3122,0.097
7,-0.1365,0.202104,False,-0.3352,0.0739
8,-0.152,0.157477,False,-0.3503,0.0593
9,-0.2044,0.05752,False,-0.3979,0.0065
10,-0.2369,0.028059,True,-0.4274,-0.0264
11,-0.2147,0.048431,True,-0.4091,-0.0017
12,-0.277,0.01075,True,-0.4638,-0.0665
