category,date,sales_millions
Furniture and home furnishings stores,2018-01-01,8679
Electronics and appliance stores,2018-01-01,7161
Clothing and clothing accessories stores,2018-01-01,15316
Furniture and home furnishings stores,2018-01-01,9633
Electronics and appliance stores,2018-01-01,7725
Clothing and clothing accessories stores,2018-01-01,21245
Furniture and home furnishings stores,2018-02-01,8508
Electronics and appliance stores,2018-02-01,6848
Clothing and clothing accessories stores,2018-02-01,17879
Furniture and home furnishings stores,2018-02-01,9657
Electronics and appliance stores,2018-02-01,7826
Clothing and clothing accessories stores,2018-02-01,21771
Furniture and home furnishings stores,2018-03-01,9963
Electronics and appliance stores,2018-03-01,7457
Clothing and clothing accessories stores,2018-03-01,21580
Furniture and home furnishings stores,2018-03-01,9673
Electronics and appliance stores,2018-03-01,7752
Clothing and clothing accessories stores,2018-03-01,21144
Furniture and home furnishings stores,2018-04-01,9152
Electronics and appliance stores,2018-04-01,6714
Clothing and clothing accessories stores,2018-04-01,19853
Furniture and home furnishings stores,2018-04-01,9799
Electronics and appliance stores,2018-04-01,7825
Clothing and clothing accessories stores,2018-04-01,21458
Furniture and home furnishings stores,2018-05-01,9883
Electronics and appliance stores,2018-05-01,7269
Clothing and clothing accessories stores,2018-05-01,22952
Furniture and home furnishings stores,2018-05-01,9718
Electronics and appliance stores,2018-05-01,7791
Clothing and clothing accessories stores,2018-05-01,22172
Furniture and home furnishings stores,2018-06-01,9692
Electronics and appliance stores,2018-06-01,7374
Clothing and clothing accessories stores,2018-06-01,20703
Furniture and home furnishings stores,2018-06-01,9760
Electronics and appliance stores,2018-06-01,7828
Clothing and clothing accessories stores,2018-06-01,21628
Furniture and home furnishings stores,2018-07-01,9703
Electronics and appliance stores,2018-07-01,7257
Clothing and clothing accessories stores,2018-07-01,21067
Furniture and home furnishings stores,2018-07-01,9811
Electronics and appliance stores,2018-07-01,7737
Clothing and clothing accessories stores,2018-07-01,21947
Furniture and home furnishings stores,2018-08-01,10169
Electronics and appliance stores,2018-08-01,7737
Clothing and clothing accessories stores,2018-08-01,22457
Furniture and home furnishings stores,2018-08-01,9676
Electronics and appliance stores,2018-08-01,7792
Clothing and clothing accessories stores,2018-08-01,21516
Furniture and home furnishings stores,2018-09-01,9560
Electronics and appliance stores,2018-09-01,7175
Clothing and clothing accessories stores,2018-09-01,19227
Furniture and home furnishings stores,2018-09-01,9676
Electronics and appliance stores,2018-09-01,7649
Clothing and clothing accessories stores,2018-09-01,21405
Furniture and home furnishings stores,2018-10-01,9746
Electronics and appliance stores,2018-10-01,7231
Clothing and clothing accessories stores,2018-10-01,20599
Furniture and home furnishings stores,2018-10-01,9707
Electronics and appliance stores,2018-10-01,7684
Clothing and clothing accessories stores,2018-10-01,21841
Furniture and home furnishings stores,2018-11-01,10563
Electronics and appliance stores,2018-11-01,9462
Clothing and clothing accessories stores,2018-11-01,24658
Furniture and home furnishings stores,2018-11-01,9727
Electronics and appliance stores,2018-11-01,7649
Clothing and clothing accessories stores,2018-11-01,21895
Furniture and home furnishings stores,2018-12-01,10912
Electronics and appliance stores,2018-12-01,10892
Clothing and clothing accessories stores,2018-12-01,33074
Furniture and home furnishings stores,2018-12-01,9839
Electronics and appliance stores,2018-12-01,7548
Clothing and clothing accessories stores,2018-12-01,21565
Furniture and home furnishings stores,2019-01-01,8641
Electronics and appliance stores,2019-01-01,7110
Clothing and clothing accessories stores,2019-01-01,15709
Furniture and home furnishings stores,2019-01-01,9580
Electronics and appliance stores,2019-01-01,7604
Clothing and clothing accessories stores,2019-01-01,21463
Furniture and home furnishings stores,2019-02-01,8463
Electronics and appliance stores,2019-02-01,6518
Clothing and clothing accessories stores,2019-02-01,17456
Furniture and home furnishings stores,2019-02-01,9595
Electronics and appliance stores,2019-02-01,7509
Clothing and clothing accessories stores,2019-02-01,21504
Furniture and home furnishings stores,2019-03-01,9825
Electronics and appliance stores,2019-03-01,7140
Clothing and clothing accessories stores,2019-03-01,21468
Furniture and home furnishings stores,2019-03-01,9708
Electronics and appliance stores,2019-03-01,7548
