category,date,sales_millions
Furniture and home furnishings stores,2018-01-01,8679
Electronics and appliance stores,2018-01-01,7161
Clothing and clothing accessories stores,2018-01-01,15316
Furniture and home furnishings stores,2018-02-01,8508
Electronics and appliance stores,2018-02-01,6848
Clothing and clothing accessories stores,2018-02-01,17879
Furniture and home furnishings stores,2018-03-01,9963
Electronics and appliance stores,2018-03-01,7457
Clothing and clothing accessories stores,2018-03-01,21580
Furniture and home furnishings stores,2018-04-01,9152
Electronics and appliance stores,2018-04-01,6714
Clothing and clothing accessories stores,2018-04-01,19853
Furniture and home furnishings stores,2018-05-01,9883
Electronics and appliance stores,2018-05-01,7269
Clothing and clothing accessories stores,2018-05-01,22952
Clothing and clothing accessories stores,2018-06-01,20703
Electronics and appliance stores,2018-06-01,7374
Furniture and home furnishings stores,2018-06-01,9692
Furniture and home furnishings stores,2018-07-01,9703
Electronics and appliance stores,2018-07-01,7257
Clothing and clothing accessories stores,2018-07-01,21067
Furniture and home furnishings stores,2018-08-01,10169
Electronics and appliance stores,2018-08-01,7737
Clothing and clothing accessories stores,2018-08-01,22457
Clothing and clothing accessories stores,2018-09-01,19227
Electronics and appliance stores,2018-09-01,7175
Furniture and home furnishings stores,2018-09-01,9560
Furniture and home furnishings stores,2018-10-01,9746
Electronics and appliance stores,2018-10-01,7231
Clothing and clothing accessories stores,2018-10-01,20599
Furniture and home furnishings stores,2018-11-01,10563
Electronics and appliance stores,2018-11-01,9462
Clothing and clothing accessories stores,2018-11-01,24658
Clothing and clothing accessories stores,2018-12-01,33074
Electronics and appliance stores,2018-12-01,10892
Furniture and home furnishings stores,2018-12-01,10912
Furniture and home furnishings stores,2019-01-01,8641
Electronics and appliance stores,2019-01-01,7110
Clothing and clothing accessories stores,2019-01-01,15709
Furniture and home furnishings stores,2019-02-01,8463
Electronics and appliance stores,2019-02-01,6518
Clothing and clothing accessories stores,2019-02-01,17456
Clothing and clothing accessories stores,2019-03-01,21468
Electronics and appliance stores,2019-03-01,7140
Furniture and home furnishings stores,2019-03-01,9825
Furniture and home furnishings stores,2019-04-01,9394
Electronics and appliance stores,2019-04-01,6434
Clothing and clothing accessories stores,2019-04-01,20864
Furniture and home furnishings stores,2019-05-01,10105
Electronics and appliance stores,2019-05-01,7058
Clothing and clothing accessories stores,2019-05-01,22443
Clothing and clothing accessories stores,2019-06-01,20537
Electronics and appliance stores,2019-06-01,6924
Furniture and home furnishings stores,2019-06-01,9565
Furniture and home furnishings stores,2019-07-01,9986
Electronics and appliance stores,2019-07-01,7105
Clothing and clothing accessories stores,2019-07-01,21128
Furniture and home furnishings stores,2019-08-01,10402
Electronics and appliance stores,2019-08-01,7433
Clothing and clothing accessories stores,2019-08-01,23201
Clothing and clothing accessories stores,2019-09-01,19018
Electronics and appliance stores,2019-09-01,7030
Furniture and home furnishings stores,2019-09-01,9914
Furniture and home furnishings stores,2019-10-01,10027
Electronics and appliance stores,2019-10-01,6985
Clothing and clothing accessories stores,2019-10-01,20828
Furniture and home furnishings stores,2019-11-01,10789
Electronics and appliance stores,2019-11-01,9097
Clothing and clothing accessories stores,2019-11-01,24454
Clothing and clothing accessories stores,2019-12-01,34163
Electronics and appliance stores,2019-12-01,10679
Furniture and home furnishings stores,2019-12-01,10926
Furniture and home furnishings stores,2020-01-01,9225
Electronics and appliance stores,2020-01-01,6878
Clothing and clothing accessories stores,2020-01-01,16314
Furniture and home furnishings stores,2020-02-01,9193
Electronics and appliance stores,2020-02-01,6472
Clothing and clothing accessories stores,2020-02-01,18587
Clothing and clothing accessories stores,2020-03-01,10614
Electronics and appliance stores,2020-03-01,5596
Furniture and home furnishings stores,2020-03-01,7897
Furniture and home furnishings stores,2020-04-01,3780
Electronics and appliance stores,2020-04-01,2895
Clothing and clothing accessories stores,2020-04-01,2631
Furniture and home furnishings stores,2020-05-01,7072
Electronics and appliance stores,2020-05-01,3772
Clothing and clothing accessories stores,2020-05-01,8403
Clothing and clothing accessories stores,2020-06-01,15756
Electronics and appliance stores,2020-06-01,5387
