lag_months,correlation,pvalue,significant,ci_lower,ci_upper
0,-0.2008,0.049839,True,-0.3857,-0.0003
1,-0.1291,0.212518,False,-0.3222,0.0744
2,-0.0944,0.365655,False,-0.2914,0.1104
3,-0.0474,0.651998,False,-0.2487,0.1579
4,-0.0136,0.897982,False,-0.2178,0.1918
5,0.0257,0.808885,False,-0.1812,0.2304
6,0.0647,0.544808,False,-0.1444,0.2682
7,0.1119,0.296292,False,-0.0986,0.3129
8,0.1376,0.201055,False,-0.074,0.3373
9,0.1546,0.15283,False,-0.058,0.3537
10,0.1687,0.120413,False,-0.0447,0.3675
11,0.1974,0.070126,False,-0.0164,0.394
12,0.1759,0.109548,False,-0.04,0.3761
