lag_months,correlation,pvalue,significant,ci_lower,ci_upper
0,-0.4895,0.0,True,-0.6283,-0.3205
1,-0.4434,7e-06,True,-0.5921,-0.2656
2,-0.3684,0.000259,True,-0.5314,-0.1792
3,-0.277,0.007197,True,-0.455,-0.0776
4,-0.2709,0.009007,True,-0.4507,-0.0699
5,-0.2407,0.021561,True,-0.4255,-0.0365
6,-0.1944,0.066322,False,-0.386,0.0132
7,-0.1485,0.164904,False,-0.346,0.0617
8,-0.1392,0.195932,False,-0.3387,0.0724
9,-0.0651,0.54912,False,-0.272,0.1476
10,0.0209,0.848842,False,-0.1919,0.2317
11,0.127,0.246763,False,-0.0885,0.3312
12,0.2,0.068179,False,-0.0151,0.3973
