lag_months,correlation,pvalue,significant,ci_lower,ci_upper
0,0.2534,0.012728,True,0.0558,0.432
1,0.356,0.000399,True,0.1664,0.5202
2,0.3641,0.000309,True,0.1744,0.5278
3,0.3565,0.000452,True,0.1648,0.5223
4,0.3954,9.6e-05,True,0.2074,0.5553
5,0.4173,3.9e-05,True,0.2312,0.5739
6,0.3926,0.00013,True,0.2019,0.5546
7,0.3861,0.000186,True,0.1934,0.5501
8,0.4615,6e-06,True,0.2791,0.6118
9,0.521,0.0,True,0.3486,0.6593
10,0.5593,0.0,True,0.3941,0.6895
11,0.6351,0.0,True,0.488,0.7471
12,0.6406,0.0,True,0.4941,0.7518
