lag_months,correlation,pvalue,significant,ci_lower,ci_upper
0,-0.1339,0.193365,False,-0.3257,0.0684
1,-0.1004,0.333101,False,-0.2959,0.1033
2,-0.0789,0.449419,False,-0.2771,0.1257
3,-0.0537,0.609086,False,-0.2546,0.1517
4,-0.0327,0.756813,False,-0.236,0.1733
5,-0.0383,0.718228,False,-0.2424,0.1689
6,-0.0347,0.74567,False,-0.24,0.1737
7,-0.0076,0.943449,False,-0.2155,0.201
8,0.0591,0.584599,False,-0.1523,0.2652
9,0.1102,0.30966,False,-0.1029,0.3136
10,0.1505,0.166752,False,-0.0634,0.3511
11,0.1746,0.109914,False,-0.04,0.3739
12,0.186,0.090353,False,-0.0296,0.385
