date,running_shoes,furniture,laptops,apparel,washing_machines
2018-01-01,56,60,41,63,37
2018-02-01,65,66,41,63,38
2018-03-01,73,62,38,63,33
2018-04-01,68,61,36,63,34
2018-05-01,65,63,36,60,35
2018-06-01,65,64,41,63,35
2018-07-01,69,69,42,72,38
2018-08-01,70,65,49,71,37
2018-09-01,59,64,40,67,36
2018-10-01,50,54,34,65,35
2018-11-01,56,72,71,69,43
2018-12-01,59,57,49,66,36
2019-01-01,57,61,38,63,41
2019-02-01,61,61,38,60,36
2019-03-01,68,65,35,68,38
2019-04-01,65,59,30,63,39
2019-05-01,65,62,35,60,39
2019-06-01,64,67,36,65,37
2019-07-01,66,65,40,69,39
2019-08-01,74,65,46,70,39
2019-09-01,63,58,39,64,35
2019-10-01,56,53,33,59,37
2019-11-01,63,69,60,62,41
2019-12-01,62,60,49,63,36
2020-01-01,66,60,38,62,39
2020-02-01,70,73,37,61,37
2020-03-01,62,62,51,47,40
2020-04-01,86,74,67,60,46
2020-05-01,100,95,61,68,54
2020-06-01,90,92,51,65,50
2020-07-01,83,99,54,66,55
2020-08-01,75,91,66,63,45
2020-09-01,70,83,51,61,44
2020-10-01,68,82,42,65,40
2020-11-01,71,85,70,60,43
2020-12-01,75,81,53,63,41
2021-01-01,73,84,49,63,44
2021-02-01,72,79,44,61,46
2021-03-01,87,85,44,65,43
2021-04-01,87,84,40,66,39
2021-05-01,84,91,38,63,38
2021-06-01,79,79,39,65,41
2021-07-01,84,100,38,70,40
2021-08-01,87,79,42,77,43
2021-09-01,78,86,36,66,37
2021-10-01,68,72,34,67,38
2021-11-01,78,84,55,66,43
2021-12-01,77,67,39,66,35
2022-01-01,71,68,44,63,44
2022-02-01,76,67,43,65,44
2022-03-01,88,66,40,68,41
2022-04-01,83,63,37,65,41
2022-05-01,78,63,34,62,36
2022-06-01,75,68,39,63,39
2022-07-01,76,65,42,69,44
2022-08-01,80,66,45,74,43
2022-09-01,71,58,35,60,39
2022-10-01,65,58,32,61,39
2022-11-01,71,60,50,67,43
2022-12-01,67,55,38,65,41
2023-01-01,71,58,35,57,42
2023-02-01,76,59,34,62,40
2023-03-01,78,55,33,61,36
2023-04-01,82,56,29,61,37
2023-05-01,77,54,30,60,38
2023-06-01,79,53,32,60,34
2023-07-01,77,57,35,65,40
2023-08-01,77,50,37,62,37
2023-09-01,66,50,32,60,37
2023-10-01,65,45,28,60,37
2023-11-01,78,53,46,56,40
2023-12-01,72,47,36,61,38
2024-01-01,65,46,34,59,38
2024-02-01,81,49,33,55,37
2024-03-01,88,47,27,54,32
2024-04-01,84,44,27,58,33
2024-05-01,88,42,29,55,37
2024-06-01,85,44,31,55,36
2024-07-01,78,43,34,58,35
2024-08-01,93,47,39,63,38
2024-09-01,74,39,32,57,39
2024-10-01,69,37,29,55,34
2024-11-01,79,46,45,56,39
2024-12-01,74,39,39,64,38
2025-01-01,68,41,34,56,44
2025-02-01,76,43,32,58,43
2025-03-01,91,44,34,63,41
2025-04-01,83,46,32,62,40
2025-05-01,82,51,33,65,39
2025-06-01,85,50,35,64,42
2025-07-01,89,62,50,76,72
2025-08-01,96,58,47,79,60
2025-09-01,83,58,38,70,49
2025-10-01,74,48,38,71,51
2025-11-01,94,79,100,85,90
2025-12-01,90,79,69,100,100
