date,running_shoes,furniture,laptops,apparel,washing_machines
2018-01-01,55,61,64,82,69
2018-02-01,66,60,57,77,70
2018-03-01,71,65,55,84,61
2018-04-01,68,58,51,78,63
2018-05-01,67,64,53,78,65
2018-06-01,69,63,57,82,64
2018-07-01,69,72,62,95,70
2018-08-01,68,66,72,97,67
2018-09-01,58,59,57,89,67
2018-10-01,50,54,50,86,65
2018-11-01,56,73,98,90,81
2018-12-01,57,57,69,87,68
2019-01-01,57,60,56,87,75
2019-02-01,61,62,54,82,68
2019-03-01,70,63,52,87,69
2019-04-01,65,59,44,78,71
2019-05-01,60,64,50,79,71
2019-06-01,66,64,53,90,68
2019-07-01,71,65,57,89,73
2019-08-01,71,64,68,91,75
2019-09-01,64,58,56,90,66
2019-10-01,55,52,46,81,68
2019-11-01,64,69,87,83,76
2019-12-01,62,60,69,84,67
2020-01-01,68,64,55,83,72
2020-02-01,70,77,54,82,70
2020-03-01,64,66,72,63,74
2020-04-01,86,76,99,81,87
2020-05-01,100,97,90,91,100
2020-06-01,88,91,72,86,93
2020-07-01,83,97,82,87,100
2020-08-01,74,92,96,83,83
2020-09-01,71,84,76,82,82
2020-10-01,68,82,60,82,75
2020-11-01,70,89,100,82,80
2020-12-01,75,82,77,84,74
2021-01-01,74,84,72,85,82
2021-02-01,68,81,65,82,82
2021-03-01,88,88,65,88,80
2021-04-01,86,87,56,86,74
2021-05-01,84,89,56,87,71
2021-06-01,80,78,56,82,74
2021-07-01,85,100,55,95,73
2021-08-01,87,79,61,100,77
2021-09-01,77,86,52,91,68
2021-10-01,68,74,48,90,68
2021-11-01,81,82,80,91,79
2021-12-01,78,66,56,84,64
2022-01-01,68,70,62,81,80
2022-02-01,77,69,61,86,81
2022-03-01,94,69,61,90,75
2022-04-01,82,65,52,86,73
2022-05-01,78,65,50,83,66
2022-06-01,73,67,53,84,72
2022-07-01,76,67,60,92,80
2022-08-01,77,66,64,94,81
2022-09-01,68,57,51,84,72
2022-10-01,66,61,46,80,72
2022-11-01,70,60,69,90,80
2022-12-01,69,55,55,84,77
2023-01-01,70,59,49,78,75
2023-02-01,76,60,50,80,73
2023-03-01,79,54,46,81,66
2023-04-01,82,56,43,80,69
2023-05-01,76,54,44,84,71
2023-06-01,79,55,47,82,63
2023-07-01,78,58,51,89,72
2023-08-01,79,55,53,85,68
2023-09-01,67,49,46,81,69
2023-10-01,65,46,42,78,68
2023-11-01,79,55,66,79,72
2023-12-01,74,47,52,82,70
